name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cerdanyola del valles,2021-01-01,8.2,3.7,5.9,8.2,2,5.2,3.3,83.2,1.049,100,4.17,rain,0,0,35.4,10.5,296.2,1005.3,71.2,10.4,22.4,1.9,1,,2021-01-01T08:18:00,2021-01-01T17:32:21,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"LEBL,D1298,08186099999,LEGE,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2021-01-02,8.7,1.5,4.7,7.3,-2.1,2.6,-0.2,71.7,0,0,0,,0,0,27,12.6,293.2,1006.4,54.7,10.5,38.5,3.5,2,,2021-01-02T08:18:05,2021-01-02T17:33:13,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
cerdanyola del valles,2021-01-03,9,0.4,4.2,7,-2.2,2,-3.5,58.9,0,0,0,,0,0,23.6,18.9,281.3,1010.1,39.5,10.5,17.8,1.5,1,,2021-01-03T08:18:07,2021-01-03T17:34:07,0.65,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
cerdanyola del valles,2021-01-04,9.1,-1.9,3.5,6.5,-4,1.5,-1.6,71.3,0,0,0,,0,0,32.4,20.6,281.2,1009.5,29.3,10.5,20.2,1.9,2,,2021-01-04T08:18:07,2021-01-04T17:35:02,0.69,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2021-01-05,8.8,-1.9,3,7.2,-2.8,1.6,-1.2,75.2,0.044,100,4.17,rain,0,0,19,11.3,286.7,1010.5,35,10.5,34.8,2.9,1,,2021-01-05T08:18:04,2021-01-05T17:35:59,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
cerdanyola del valles,2021-01-06,9.2,-3,2.1,9,-5.5,1.2,-1.5,78,0.161,100,4.17,rain,0,0,22,9.4,322.7,1014.2,28.6,10.4,31.6,2.8,2,,2021-01-06T08:17:59,2021-01-06T17:36:58,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
cerdanyola del valles,2021-01-07,7.5,1.6,4.3,7.5,-0.1,4,0.8,78.4,1.634,100,20.83,rain,0,0,23.4,8.3,6.1,1014.1,65.1,9.9,37.6,3.3,2,,2021-01-07T08:17:52,2021-01-07T17:37:57,0.8,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"LEBL,D1298,08186099999,LEGE,08180099999,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
cerdanyola del valles,2021-01-08,7,-1.9,3.2,7,-3.7,2.3,-1.7,71.7,0,0,0,,0,0,21.4,9,332.8,1013,45.8,9.6,46.7,4.1,2,,2021-01-08T08:17:43,2021-01-08T17:38:58,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
cerdanyola del valles,2021-01-09,7.4,3.1,5.5,4.2,0.5,2.5,2,78.9,16.23,100,70.83,rain,0,0,65.2,28.8,51.1,1007.5,92.1,10,17.4,1.6,1,,2021-01-09T08:17:31,2021-01-09T17:40:00,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,V7DJ5,08181099999,08176399999"
cerdanyola del valles,2021-01-10,7.1,4,5.6,7.1,2.1,4.3,3.9,89.1,4.017,100,33.33,rain,0,0,47,10.9,317.5,1010.9,89.5,10.2,16.5,1.3,1,,2021-01-10T08:17:17,2021-01-10T17:41:04,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LEBL,08186099999,LEGE,08180099999,AR110,08184099999,LELL,08181099999,08176399999"
