Hour,Real,Predicted,Residuals
0.0,71.38000021129847,85.7993493899703,14.419349178671837
1.0,74.7900009714067,85.2416961081326,10.451695136725903
2.0,70.65000054985285,85.05171900987625,14.401718460023403
3.0,69.74999875947833,85.76253488659859,16.012536127120256
4.0,69.62000029161572,87.06711527332664,17.44711498171091
5.0,71.23999960720539,90.64493507891893,19.404935471713543
6.0,72.7100010663271,97.72950970754027,25.01950864121318
7.0,72.42999985814095,101.27774311602116,28.84774325788021
8.0,70.70000146329403,103.96920173987746,33.26920027658343
9.0,72.09999773651361,100.39477621391416,28.29477847740054
10.0,72.30000139027834,97.24903111159801,24.949029721319675
11.0,75.00000187754631,93.66418832167983,18.66418644413352
12.0,78.6500001847744,94.08160169050097,15.431601505726576
13.0,80.85000130534172,94.93789785727859,14.087896551936865
14.0,81.74999821186066,96.52537557855248,14.775377366691828
15.0,83.64999873563647,99.24100440368056,15.59100566804409
16.0,81.3800021968782,99.41125560924411,18.031253412365913
17.0,78.81000017747283,97.62824784591794,18.81824766844511
18.0,78.81000017747283,93.97581737861037,15.165817201137543
19.0,75.80000184103847,93.38296614959836,17.582964308559895
20.0,75.59999818727374,91.30848500132561,15.708486814051867
21.0,75.00000187754631,89.381970025599,14.381968148052692
22.0,72.60000198706985,87.31568887084723,14.71568688377738
23.0,72.28999925404787,86.60799866169691,14.31799940764904
24.0,71.29000052064657,86.55072080343962,15.260720282793045
25.0,70.7599996291101,85.65473354235291,14.894733913242817
26.0,71.13999778032303,85.28859577327967,14.148597992956638
27.0,68.62000155821443,85.85141617432237,17.23141461610794
28.0,69.99999844282866,88.05232080817223,18.05232236534357
29.0,69.33000183105469,91.24606444314122,21.916062612086535
30.0,70.43000239133835,93.49015701189637,23.060154620558023
31.0,71.34000143408775,95.67610239610076,24.336100962013006
32.0,69.8500005863607,95.39702912047505,25.54702853411436
33.0,68.8500018529594,92.24864185228944,23.398639999330044
34.0,69.60000090301037,90.99120532348752,21.391204420477152
35.0,73.1000013537705,91.5563797429204,18.456378389149904
36.0,72.74999984353781,91.78093453869224,19.03093469515443
